depth,sigma_read,arch,n,n_seeds,n_chips,auc_mean,auc_std,auc_min,pauc_mean,pauc_std
1,0.0,none,30,3,10,0.6658994367529745,0.06998995979324524,0.4328266049987748,0.575367582048317,0.03165235341490755
1,0.0,per_layer,30,3,10,0.723519896403387,0.015019193950808755,0.6917110287511231,0.6065841356177751,0.011214821802163426
1,0.08,none,30,3,10,0.7101456570421193,0.012591035392590625,0.6823749030057992,0.6038318477010135,0.007949584867074982
1,0.08,per_layer,30,3,10,0.7117747699365624,0.011989055664959954,0.6821006493506493,0.6011951494660034,0.009282880986762112
2,0.0,none,30,3,10,0.6496051001933077,0.05839735243268613,0.49893589193825044,0.5704772741602434,0.028088424155282746
2,0.0,per_layer,30,3,10,0.7316619296060334,0.020755853332229107,0.6873940414930981,0.6138749604141859,0.013499966655329279
2,0.04,none,30,3,10,0.7289030177108007,0.012962798370056722,0.708913726210896,0.6127042860868581,0.011087953140897012
2,0.04,per_layer,30,3,10,0.7259148818032073,0.014429018034144214,0.6935332536959896,0.6045602535498265,0.0063879276345051444
2,0.08,none,30,3,10,0.7195280728443464,0.009829554644021903,0.695669239565466,0.614249562227467,0.008945064040787936
2,0.08,per_layer,30,3,10,0.7294373163916796,0.00923317094504714,0.7082379625091889,0.6231128546781476,0.006709311175191185
2,0.17,none,30,3,10,0.5237129667633205,0.07012536534725274,0.4169602221677694,0.5210164813119132,0.008256493980704925
2,0.17,per_layer,20,2,10,0.5743647283141387,0.005029613740831347,0.5660173670668953,0.5270533188674946,0.0017613970651715798
2,0.34,none,30,3,10,0.49060781296795447,0.007564918838575779,0.4796733031119824,0.5207129369306628,0.0027587870764702823
2,0.34,per_layer,30,3,10,0.47212667782950807,0.03480227963045742,0.39893858735604015,0.5163974043169673,0.007813775567573438
4,0.0,none,30,3,10,0.6715318617441259,0.04508954377950097,0.5818769500939311,0.5879216892287895,0.024454102524042357
4,0.0,per_layer,30,3,10,0.7289548677475565,0.013514427216032337,0.6906074695744507,0.608303889368934,0.00834641642647318
4,0.08,none,30,3,10,0.6966422353589806,0.009974079719456611,0.6787397084048028,0.5953769805445575,0.005907337184590717
4,0.08,per_layer,30,3,10,0.7122946348593755,0.008469538245182514,0.6941829208527321,0.6088234164599606,0.006534799874600775
