condition,bits,n,n_seeds,n_chips,auc_mean,auc_std,auc_min,pauc_mean,pauc_std
nominal,2,30,3,10,0.5278619806556127,0.08522652577367376,0.3889392101609083,0.5278719723121411,0.0388509969225389
nominal,4,30,3,10,0.4298506912113044,0.030864780267369482,0.36559633055623625,0.49679792140442586,0.005108603282599778
nominal,6,30,3,10,0.6539980854706091,0.04423312790162747,0.5759913624111737,0.5709433747318554,0.02876738390982332
nominal,8,30,3,10,0.6416751361322116,0.06001459568728935,0.5195823327615781,0.5620401006088692,0.0325597427966777
nominal,10,30,3,10,0.6635390692640694,0.04732092132681183,0.58762940047374,0.579144711765119,0.032875851437129476
quant_only,2,3,3,1,0.5573040240681749,0.019155109070200915,0.53621662378502,0.5173361505536281,0.017809234401943735
quant_only,4,3,3,1,0.43513731656184484,0.026661544329387943,0.4043710896022217,0.4998170275603244,0.011631102373665658
quant_only,6,3,3,1,0.6919237421383647,0.01427865326340587,0.6754593134852569,0.5979192907941666,0.01073004992494684
quant_only,8,3,3,1,0.718670447738844,0.028088955864024247,0.6963048987176346,0.616002413122572,0.01685951233747546
quant_only,10,3,3,1,0.71553595592039,0.032477354234262075,0.6864598341909663,0.6171669704564442,0.015832554462827327
