condition,bits,n,n_seeds,n_chips,auc_mean,auc_std,auc_min,pauc_mean,pauc_std
nominal,2,30,3,10,0.5375956480233604,0.07269640091586485,0.38227468247161644,0.5250648992406688,0.02307529436513639
nominal,4,30,3,10,0.4490617168994528,0.004484541405919407,0.44082548190802906,0.4934837415150225,0.0010125153493021008
nominal,6,30,3,10,0.7286186055296905,0.012064749960183425,0.701297853875684,0.6126016388168821,0.009919469124014358
nominal,8,30,3,10,0.7264890229791173,0.013208264125696947,0.6991799395572981,0.6136786273144267,0.007767679893746772
nominal,10,30,3,10,0.7267915278118108,0.01186615641258454,0.7000517540635465,0.6157962032726183,0.0061239235777941665
quant_only,2,3,3,1,0.5934485658471508,0.07372503560135545,0.5106020072694601,0.559427693017564,0.029712375102967613
quant_only,4,3,3,1,0.45172844346429253,0.0009878656287989392,0.4507919423343951,0.4922486856076727,0.000285545745597705
quant_only,6,3,3,1,0.7382554861281276,0.01239402343235933,0.7241472882463449,0.617911344971921,0.012600048042193147
quant_only,8,3,3,1,0.7392106952272046,0.01212972817664748,0.7265323756432248,0.6229166039742008,0.006926221586031544
quant_only,10,3,3,1,0.739679997413488,0.005292912609039881,0.7341365474148493,0.6233383988845757,0.0034138161991062654
