arch,sigma_read,seed,chip,calib_windows,auc
none,0.0,0,0,0,0.7019544127256392
none,0.0,0,0,2048,0.6503012129380054
none,0.0,0,0,20480,0.7359642142448747
none,0.0,0,1,0,0.6693209487053826
none,0.0,0,1,2048,0.5559839091725884
none,0.0,0,1,20480,0.6667463652699501
none,0.0,0,2,0,0.6970319774565057
none,0.0,0,2,2048,0.6887937903291678
none,0.0,0,2,20480,0.709406875357347
none,0.0,0,3,0,0.6251903843012333
none,0.0,0,3,2048,0.6166880666503308
none,0.0,0,3,20480,0.6176460834762723
none,0.0,0,4,0,0.5017432920852732
none,0.0,0,4,2048,0.6259537797108552
none,0.0,0,4,20480,0.6640914093767868
none,0.0,0,5,0,0.6954990300579924
none,0.0,0,5,2048,0.7260778914481745
none,0.0,0,5,20480,0.6848103303928776
none,0.0,0,6,0,0.5295312423425631
none,0.0,0,6,2048,0.5720284244057829
none,0.0,0,6,20480,0.6292218716817775
none,0.0,0,7,0,0.5858255635873559
none,0.0,0,7,2048,0.6334589969778649
none,0.0,0,7,20480,0.6302190741648288
none,0.0,0,8,0,0.6348591440006535
none,0.0,0,8,2048,0.6394884832148983
none,0.0,0,8,20480,0.6591133709058238
none,0.0,0,9,0,0.6144501858204688
none,0.0,0,9,2048,0.7595858551825533
none,0.0,0,9,20480,0.7392890222984563
none,0.0,1,0,0,0.654378695989545
none,0.0,1,0,2048,0.6473520276892918
none,0.0,1,0,20480,0.6764384035775546
none,0.0,1,1,0,0.6879376378338643
none,0.0,1,1,2048,0.6213462284570775
none,0.0,1,1,20480,0.6744324920362657
none,0.0,1,2,0,0.6524555766560483
none,0.0,1,2,2048,0.7027294882790165
none,0.0,1,2,20480,0.6621922731356693
none,0.0,1,3,0,0.6825406354651639
none,0.0,1,3,2048,0.6758519051703014
none,0.0,1,3,20480,0.6848709262435677
none,0.0,1,4,0,0.7027790982602302
none,0.0,1,4,2048,0.620790931552724
none,0.0,1,4,20480,0.6529409458466062
none,0.0,1,5,0,0.5987453442783632
none,0.0,1,5,2048,0.5982591787143674
none,0.0,1,5,20480,0.602780068202238
none,0.0,1,6,0,0.7671964898309238
none,0.0,1,6,2048,0.7274006677284979
none,0.0,1,6,20480,0.753309350240954
none,0.0,1,7,0,0.5735735624438454
none,0.0,1,7,2048,0.5643990647717063
none,0.0,1,7,20480,0.6348595217675407
none,0.0,1,8,0,0.6092421689945275
none,0.0,1,8,2048,0.5921536898635955
none,0.0,1,8,20480,0.5882314587927795
none,0.0,1,9,0,0.6591972964142776
none,0.0,1,9,2048,0.6903955219308993
none,0.0,1,9,20480,0.7050174283263906
none,0.0,2,0,0,0.7061540267908193
none,0.0,2,0,2048,0.6662647022788533
none,0.0,2,0,20480,0.6942949032099976
none,0.0,2,1,0,0.6086053867516132
none,0.0,2,1,2048,0.6598054602630075
none,0.0,2,1,20480,0.6190264845217675
none,0.0,2,2,0,0.6559328391734053
none,0.0,2,2,2048,0.6753261251327289
none,0.0,2,2,20480,0.7005111594380462
none,0.0,2,3,0,0.6971581413869149
none,0.0,2,3,2048,0.7114452646410194
none,0.0,2,3,20480,0.672417269051703
none,0.0,2,4,0,0.6829095707751367
none,0.0,2,4,2048,0.6487814465408805
none,0.0,2,4,20480,0.6754365862125296
none,0.0,2,5,0,0.6460510802090991
none,0.0,2,5,2048,0.6255634954667973
none,0.0,2,5,20480,0.6652910744915461
none,0.0,2,6,0,0.647216000980152
none,0.0,2,6,2048,0.600735287511231
none,0.0,2,6,20480,0.6325525095973209
none,0.0,2,7,0,0.6735013477088949
none,0.0,2,7,2048,0.6827162460181329
none,0.0,2,7,20480,0.750752674997958
none,0.0,2,8,0,0.5961657069345749
none,0.0,2,8,2048,0.6125832312341747
none,0.0,2,8,20480,0.6498751020991587
none,0.0,2,9,0,0.6761330760434534
none,0.0,2,9,2048,0.6746118189986114
none,0.0,2,9,20480,0.6811307788123826
per_layer,0.0,0,0,0,0.7293840561953769
per_layer,0.0,0,0,2048,0.7288341297067711
per_layer,0.0,0,0,20480,0.7386777852650495
per_layer,0.0,0,1,0,0.7545606264804378
per_layer,0.0,0,1,2048,0.756671526586621
per_layer,0.0,0,1,20480,0.7596341685044516
per_layer,0.0,0,2,0,0.7555747059544229
per_layer,0.0,0,2,2048,0.7448753267173078
per_layer,0.0,0,2,20480,0.756393970023687
per_layer,0.0,0,3,0,0.7310985461079802
per_layer,0.0,0,3,2048,0.7268746018132811
per_layer,0.0,0,3,20480,0.7270957485910317
per_layer,0.0,0,4,0,0.7418482908600833
per_layer,0.0,0,4,2048,0.7319906987666422
per_layer,0.0,0,4,20480,0.7381233051539655
per_layer,0.0,0,5,0,0.7526409580985052
per_layer,0.0,0,5,2048,0.7503537531650738
per_layer,0.0,0,5,20480,0.7572168994527485
per_layer,0.0,0,6,0,0.7275686514743119
per_layer,0.0,0,6,2048,0.7342433022951891
per_layer,0.0,0,6,20480,0.7358605427591277
per_layer,0.0,0,7,0,0.7199166564567507
per_layer,0.0,0,7,2048,0.7232146532712571
per_layer,0.0,0,7,20480,0.7199441211304418
per_layer,0.0,0,8,0,0.7370633423180593
per_layer,0.0,0,8,2048,0.7369329004329004
per_layer,0.0,0,8,20480,0.7363775626888834
per_layer,0.0,0,9,0,0.7325144980805358
per_layer,0.0,0,9,2048,0.7337986604590377
per_layer,0.0,0,9,20480,0.7415558482398106
per_layer,0.0,1,0,0,0.7262150820877237
per_layer,0.0,1,0,2048,0.718327523891203
per_layer,0.0,1,0,20480,0.7245592991913746
per_layer,0.0,1,1,0,0.7162218716817772
per_layer,0.0,1,1,2048,0.6929741076533529
per_layer,0.0,1,1,20480,0.7115281283182227
per_layer,0.0,1,2,0,0.7285623927958833
per_layer,0.0,1,2,2048,0.7327522666013231
per_layer,0.0,1,2,20480,0.7257144082332762
per_layer,0.0,1,3,0,0.7242614759454382
per_layer,0.0,1,3,2048,0.7236527505513355
per_layer,0.0,1,3,20480,0.7179735052683165
per_layer,0.0,1,4,0,0.7179262639875847
per_layer,0.0,1,4,2048,0.713336896593972
per_layer,0.0,1,4,20480,0.7077443028669443
per_layer,0.0,1,5,0,0.710237012987013
per_layer,0.0,1,5,2048,0.694467409948542
per_layer,0.0,1,5,20480,0.7024631422037083
per_layer,0.0,1,6,0,0.6787140406763048
per_layer,0.0,1,6,2048,0.7000282304173814
per_layer,0.0,1,6,20480,0.6905128236543331
per_layer,0.0,1,7,0,0.7101430307114269
per_layer,0.0,1,7,2048,0.7096668096054889
per_layer,0.0,1,7,20480,0.716133739687985
per_layer,0.0,1,8,0,0.716924906068774
per_layer,0.0,1,8,2048,0.7074296843094013
per_layer,0.0,1,8,20480,0.7061754778240628
per_layer,0.0,1,9,0,0.71507619660214
per_layer,0.0,1,9,2048,0.7072191864739035
per_layer,0.0,1,9,20480,0.7170458527321735
per_layer,0.0,2,0,0,0.7417576880666503
per_layer,0.0,2,0,2048,0.7395674160744916
per_layer,0.0,2,0,20480,0.7393365392469166
per_layer,0.0,2,1,0,0.7343663624111737
per_layer,0.0,2,1,2048,0.7327792309891367
per_layer,0.0,2,1,20480,0.7373904476027118
per_layer,0.0,2,2,0,0.7545116903536715
per_layer,0.0,2,2,2048,0.7470222065670178
per_layer,0.0,2,2,20480,0.7543116985216042
per_layer,0.0,2,3,0,0.7470499469084375
per_layer,0.0,2,3,2048,0.7409582312341747
per_layer,0.0,2,3,20480,0.7448455443927142
per_layer,0.0,2,4,0,0.7477883892836723
per_layer,0.0,2,4,2048,0.7305520807808543
per_layer,0.0,2,4,20480,0.7460593706607856
per_layer,0.0,2,5,0,0.7550968410520298
per_layer,0.0,2,5,2048,0.7393502409540146
per_layer,0.0,2,5,20480,0.7484017499795801
per_layer,0.0,2,6,0,0.7255279649595687
per_layer,0.0,2,6,2048,0.7128631871273381
per_layer,0.0,2,6,20480,0.7273424814179532
per_layer,0.0,2,7,0,0.7444913522012578
per_layer,0.0,2,7,2048,0.7329647451604999
per_layer,0.0,2,7,20480,0.7243120150289962
per_layer,0.0,2,8,0,0.732196949277138
per_layer,0.0,2,8,2048,0.735010781671159
per_layer,0.0,2,8,20480,0.7401863820142122
per_layer,0.0,2,9,0,0.7372497958016826
per_layer,0.0,2,9,2048,0.7369242117944949
per_layer,0.0,2,9,20480,0.7391550375724903
none,0.04,0,0,0,0.7216901392632524
none,0.04,0,0,2048,0.699056358735604
none,0.04,0,0,20480,0.7050410336518826
none,0.04,0,1,0,0.7238355182553295
none,0.04,0,1,2048,0.7315715000408397
none,0.04,0,1,20480,0.719573909580985
none,0.04,0,2,0,0.726030936045087
none,0.04,0,2,2048,0.7220302009311443
none,0.04,0,2,20480,0.7258409703504043
none,0.04,0,3,0,0.7112681328105857
none,0.04,0,3,2048,0.7065431777342155
none,0.04,0,3,20480,0.7078190802907783
none,0.04,0,4,0,0.730253236543331
none,0.04,0,4,2048,0.7368680164175447
none,0.04,0,4,20480,0.7291241219472351
none,0.04,0,5,0,0.7193659233847913
none,0.04,0,5,2048,0.7242693988401536
none,0.04,0,5,20480,0.7213362839990198
none,0.04,0,6,0,0.7092051069999183
none,0.04,0,6,2048,0.6965353977783223
none,0.04,0,6,20480,0.7034880237686842
none,0.04,0,7,0,0.7147003593890386
none,0.04,0,7,2048,0.7139622845707753
none,0.04,0,7,20480,0.7120635873560401
none,0.04,0,8,0,0.7233041227640284
none,0.04,0,8,2048,0.7221033141386916
none,0.04,0,8,20480,0.7160627705627707
none,0.04,0,9,0,0.7088163950829045
none,0.04,0,9,2048,0.7004125520705711
none,0.04,0,9,20480,0.7071636751613167
none,0.04,1,0,0,0.7382217593727027
none,0.04,1,0,2048,0.7522438127909825
none,0.04,1,0,20480,0.7416188842603937
none,0.04,1,1,0,0.7348302703585722
none,0.04,1,1,2048,0.7294729028832803
none,0.04,1,1,20480,0.742045189087642
none,0.04,1,2,0,0.7450387057910642
none,0.04,1,2,2048,0.7442099465000408
none,0.04,1,2,20480,0.7456123805439844
none,0.04,1,3,0,0.7316924671240709
none,0.04,1,3,2048,0.7262133566119415
none,0.04,1,3,20480,0.7295584517683573
none,0.04,1,4,0,0.764187739933023
none,0.04,1,4,2048,0.7487391672792617
none,0.04,1,4,20480,0.7587244547904924
none,0.04,1,5,0,0.743993782161235
none,0.04,1,5,2048,0.741034713713959
none,0.04,1,5,20480,0.7471800416564567
none,0.04,1,6,0,0.7264519317160827
none,0.04,1,6,2048,0.7258030405129462
none,0.04,1,6,20480,0.7190400330801274
none,0.04,1,7,0,0.7362679796618475
none,0.04,1,7,2048,0.7284195050232787
none,0.04,1,7,20480,0.7327427917993956
none,0.04,1,8,0,0.7422323368455443
none,0.04,1,8,2048,0.734721422445479
none,0.04,1,8,20480,0.736931042228212
none,0.04,1,9,0,0.736208670260557
none,0.04,1,9,2048,0.73642474271012
none,0.04,1,9,20480,0.742494721473495
none,0.04,2,0,0,0.7199083149554847
none,0.04,2,0,2048,0.7216418055215226
none,0.04,2,0,20480,0.7418849648778894
none,0.04,2,1,0,0.7437113452585151
none,0.04,2,1,2048,0.7370279037000735
none,0.04,2,1,20480,0.7405757167360941
none,0.04,2,2,0,0.7322183901004656
none,0.04,2,2,2048,0.7409646022216777
none,0.04,2,2,20480,0.741894674507882
none,0.04,2,3,0,0.7421241934166463
none,0.04,2,3,2048,0.7291909050069427
none,0.04,2,3,20480,0.7389488176917421
none,0.04,2,4,0,0.7476097872253533
none,0.04,2,4,2048,0.7670400534999592
none,0.04,2,4,20480,0.7662074450706526
none,0.04,2,5,0,0.745461192109777
none,0.04,2,5,2048,0.7543981152495304
