arm,sigma,n,n_seeds,n_chips,auc_mean,auc_std,auc_min,pauc_mean,pauc_std
C1,0.0,4,4,1,0.7194709145021645,0.017501481489299132,0.6974477150208283,0.6187024298525043,0.0051243370953906065
C2,0.0,40,4,10,0.6887629762925753,0.06895237230507026,0.49694221187617416,0.5759643346144091,0.05051236986932242
C2,0.01,40,4,10,0.6620855575635056,0.08119676059784935,0.4272139181573144,0.565071164457026,0.04536169778093781
C2,0.02,40,4,10,0.6487196890570122,0.092566642543516,0.4230423915706934,0.551996296487359,0.03763374111590614
C2,0.03,40,4,10,0.6279025718778077,0.07604355443021513,0.42545020624030055,0.5437569951357811,0.04036175148694786
C2,0.05,40,4,10,0.5869050176631545,0.07163677860022731,0.4042042493669852,0.5304454210139414,0.024162604512932954
C2,0.1,40,4,10,0.5485873386833292,0.08223624369439653,0.3441310748999428,0.5302167215852668,0.03089467510250501
C3,0.0,40,4,10,0.7191835331924364,0.010442197204012715,0.7000041758555909,0.6046292940756695,0.00552275313092579
C3,0.01,40,4,10,0.7283580313750715,0.014059519202722451,0.698385066977048,0.6092233531943065,0.009215875164790974
C3,0.02,30,3,10,0.720865451686678,0.018781031881867926,0.6856540063709874,0.6021591213597172,0.010209716117803403
C3,0.03,40,4,10,0.718014789318386,0.016869438200245487,0.6852363799722291,0.5989711494645705,0.012696187956111151
C3,0.05,40,4,10,0.702247272931471,0.03305700049887964,0.5964337274360859,0.5891601148561799,0.017994706957923372
C3,0.1,40,4,10,0.6444156024105612,0.04439991283339809,0.5575489259168505,0.553059506748217,0.02563982931954713
C4,0.0,40,4,10,0.7108250336927224,0.032482196739586855,0.6296713530180511,0.6042575886543116,0.007655991878884234
C4,0.01,40,4,10,0.7364544087692968,0.02095234866362593,0.6920969023115249,0.6121762180429633,0.012227456453247373
C4,0.02,30,3,10,0.7258643367638651,0.014417203397492136,0.7037556154537288,0.6034426045101319,0.007605763637416427
C4,0.03,40,4,10,0.7155986050702442,0.019255951084169557,0.6744879931389366,0.5964824865014166,0.011922947690698321
C4,0.05,40,4,10,0.7018608531405701,0.028328876187401528,0.6377532978028261,0.5860894625070394,0.015623847406393842
C4,0.1,40,4,10,0.6548643916421628,0.04936997158030749,0.5401937842032181,0.5615979861746992,0.029218368472396002
