arm,sigma,seed,chip,trial,auc,pauc,auc_id1,auc_id2,auc_id3,auc_id4,run_name
C1,0.0,0,0,0,0.7275596667483459,0.6242612857185846,0.778961038961039,0.7811428571428574,0.5934986522911051,0.7566361185983828,
C2,0.0,0,0,0,0.6709127052193089,0.5022850866445703,0.6788961038961039,0.7390727762803234,0.6063288409703504,0.6593530997304582,
C2,0.0,0,1,0,0.6260847627215551,0.5198646809992391,0.6698484848484849,0.6616495956873315,0.5334878706199461,0.6393530997304582,
C2,0.0,0,2,0,0.6337062811402434,0.5180225434942416,0.6915151515151515,0.6777789757412399,0.5365822102425876,0.6289487870619946,
C2,0.0,0,3,0,0.6305919709221596,0.5198679051831981,0.6446320346320346,0.6875148247978436,0.5178760107816711,0.672345013477089,
C2,0.0,0,4,0,0.65794773544066,0.5684281995726882,0.6731709956709957,0.7371967654986523,0.5421347708894879,0.679288409703504,
C2,0.0,0,5,0,0.6337931777342154,0.5411594487935103,0.6436255411255412,0.6915902964959568,0.5418652291105122,0.6580916442048517,
C2,0.0,0,6,0,0.6260112717471208,0.524576987064574,0.649090909090909,0.6727439353099731,0.5040215633423181,0.678188679245283,
C2,0.0,0,7,0,0.6533649636526995,0.5885573173929678,0.6811471861471861,0.7018544474393531,0.5139407008086253,0.7165175202156333,
C2,0.0,0,8,0,0.6379768745405537,0.5259334549925414,0.6612012987012987,0.6923989218328841,0.5241509433962264,0.6741563342318059,
C2,0.0,0,9,0,0.6381209875030629,0.5355177179655829,0.6796753246753245,0.6998274932614555,0.5401832884097035,0.6327978436657682,
C2,0.01,0,0,0,0.6937280895205423,0.5173854447439353,0.6803463203463204,0.7753207547169811,0.6263827493261456,0.6928625336927223,
C2,0.01,0,1,0,0.6306276137384628,0.5319764355141714,0.6709848484848485,0.6640539083557951,0.5372614555256064,0.6502102425876011,
C2,0.01,0,2,0,0.6635536939475619,0.5179010992317845,0.7183441558441559,0.6904797843665769,0.5484312668463611,0.6969595687331537,
C2,0.01,0,3,0,0.6187069039451115,0.5154791997145522,0.6093181818181819,0.6908032345013478,0.5319353099730458,0.6427708894878705,
C2,0.01,0,4,0,0.6434682369517275,0.5596178482226148,0.693474025974026,0.7009811320754717,0.5004636118598382,0.6789541778975741,
C2,0.01,0,5,0,0.6282389630809442,0.5626820051844879,0.650443722943723,0.7056280323450134,0.4997520215633423,0.657132075471698,
C2,0.01,0,6,0,0.6439248448092787,0.545081238688488,0.6689069264069263,0.6539838274932614,0.5397412398921833,0.7130673854447439,
C2,0.01,0,7,0,0.6264370967083231,0.5727738084490814,0.6461796536796537,0.7085390835579515,0.48281401617250674,0.6682156334231806,
C2,0.01,0,8,0,0.6243946540880503,0.5369213127157517,0.6754761904761905,0.7060377358490565,0.46903504043126676,0.6470296495956873,
C2,0.01,0,9,0,0.6466447868169567,0.5472778752197818,0.6863311688311687,0.723245283018868,0.5594716981132075,0.6175309973045822,
C2,0.02,0,0,0,0.6608783999019848,0.513499443290903,0.7082467532467532,0.7673207547169811,0.542522911051213,0.6254231805929918,
C2,0.02,0,1,0,0.6270186943559586,0.5121192238744374,0.6798160173160174,0.6510080862533693,0.525099730458221,0.6521509433962265,
C2,0.02,0,2,0,0.6492183696806338,0.531104616171647,0.7343290043290043,0.6573261455525607,0.5597951482479784,0.6454231805929919,
C2,0.02,0,3,0,0.6160499571183534,0.5074127213402289,0.6700974025974026,0.6445498652291105,0.5244743935309973,0.625078167115903,
C2,0.02,0,4,0,0.6552223821775709,0.5611527747327152,0.7014393939393939,0.6987924528301888,0.526167115902965,0.6944905660377357,
C2,0.02,0,5,0,0.6165440966266438,0.5424960342537304,0.64245670995671,0.6799460916442048,0.4718598382749326,0.6719137466307277,
C2,0.02,0,6,0,0.6348263803806258,0.5215437285323085,0.7273917748917749,0.6604204851752021,0.46351482479784367,0.687978436657682,
C2,0.02,0,7,0,0.6345320489259169,0.5684837630095823,0.6582575757575757,0.688366576819407,0.4713530997304582,0.7201509433962264,
C2,0.02,0,8,0,0.6287282835089438,0.5207914189418658,0.6662662337662338,0.6909649595687332,0.46370889487870615,0.6939730458221024,
C2,0.02,0,9,0,0.6406160152740341,0.5494169063310076,0.6729761904761904,0.711277628032345,0.5438274932614555,0.6343827493261456,
C2,0.03,0,0,0,0.6805807502246182,0.5288195295270768,0.7041666666666666,0.734167115902965,0.6334123989218328,0.650576819407008,
C2,0.03,0,1,0,0.6226382014212204,0.5064626618002983,0.6793506493506494,0.642156334231806,0.48488409703504043,0.6841617250673855,
C2,0.03,0,2,0,0.6326594993057257,0.5312437397094796,0.7247835497835498,0.6282695417789756,0.5601832884097036,0.6174016172506738,
C2,0.03,0,3,0,0.6285962488769092,0.5115425248369638,0.6720238095238096,0.6804312668463611,0.49701347708894883,0.6649164420485176,
C2,0.03,0,4,0,0.6202791697296415,0.5614720226810594,0.6787770562770562,0.6329811320754717,0.47904043126684637,0.6903180592991913,
C2,0.03,0,5,0,0.5881035285469247,0.5049169880103346,0.6125974025974026,0.6181347708894878,0.5173908355795148,0.6042911051212938,
C2,0.03,0,6,0,0.6219695948705383,0.5377387508221669,0.6991991341991343,0.6502749326145553,0.44249056603773584,0.6959137466307278,
C2,0.03,0,7,0,0.6294800089847259,0.5911972254822304,0.6488095238095238,0.6393530997304582,0.4595579514824798,0.7701994609164419,
C2,0.03,0,8,0,0.6695433513027853,0.5500698573191125,0.6902380952380953,0.7788247978436659,0.5519460916442048,0.6571644204851752,
C2,0.03,0,9,0,0.6238932246998284,0.5180340968200948,0.6953896103896104,0.5941239892183289,0.533822102425876,0.6722371967654986,
C2,0.05,0,0,0,0.69442034223638,0.5226138889247132,0.7341341991341992,0.7278059299191374,0.5572722371967656,0.7584690026954178,
C2,0.05,0,1,0,0.6379200053091563,0.5412743372152509,0.6094913419913419,0.6854663072776281,0.5275687331536387,0.7291536388140162,
C2,0.05,0,2,0,0.5896394061912931,0.5114863165632778,0.7549134199134199,0.645822102425876,0.4791482479784367,0.4786738544474394,
C2,0.05,0,3,0,0.5576037633749898,0.5095241856786048,0.6771320346320346,0.5763018867924529,0.4613908355795148,0.5155902964959569,
C2,0.05,0,4,0,0.6412009719839908,0.5382410249465861,0.7216017316017316,0.6761078167115904,0.5346522911051212,0.6324420485175202,
C2,0.05,0,5,0,0.6203806358735604,0.5394574020815331,0.6320454545454546,0.7658652291105121,0.4371644204851752,0.6464474393530997,
C2,0.05,0,6,0,0.5964948542024013,0.5299585262470069,0.6945454545454545,0.6970242587601079,0.3977466307277628,0.5966630727762803,
C2,0.05,0,7,0,0.6242865514988156,0.5060227756354867,0.7208874458874459,0.7043018867924528,0.4463288409703504,0.6256280323450134,
C2,0.05,0,8,0,0.6107073838111574,0.5208433283036064,0.6326839826839827,0.6230080862533693,0.5190296495956873,0.6681078167115904,
C2,0.05,0,9,0,0.6219525545209508,0.5433150844521252,0.672564935064935,0.7124204851752021,0.5064690026954178,0.596355795148248,
C2,0.1,0,0,0,0.5343018867924529,0.539583521410731,0.5857142857142859,0.7341886792452832,0.3203881401617251,0.4969164420485175,
C2,0.1,0,1,0,0.5652380237686842,0.5175323063232696,0.5894480519480519,0.576743935309973,0.625487870619946,0.4692722371967655,
C2,0.1,0,2,0,0.39007693171608265,0.5095758263583487,0.14154761904761903,0.48644743935309975,0.29429649595687335,0.6380161725067385,
C2,0.1,0,3,0,0.5438111369762313,0.5155867262495861,0.5026623376623377,0.5989433962264151,0.27995687331536384,0.7936819407008087,
C2,0.1,0,4,0,0.6245715306705872,0.5422379383278092,0.7143939393939395,0.5178436657681941,0.6330242587601078,0.6330242587601078,
C2,0.1,0,5,0,0.5272356550682022,0.5150697283517542,0.655508658008658,0.409099730458221,0.46894878706199467,0.5753854447439353,
C2,0.1,0,6,0,0.49670221759372707,0.49964609207409605,0.43006493506493504,0.3770458221024259,0.5458975741239893,0.6338005390835579,
C2,0.1,0,7,0,0.6388403271257045,0.5483930667148145,0.4536038961038961,0.7149110512129381,0.7633746630727763,0.6234716981132075,
C2,0.1,0,8,0,0.5233632075471698,0.5188597565956057,0.5707142857142856,0.549832884097035,0.45297035040431266,0.5199353099730458,
C2,0.1,0,9,0,0.5951048660459037,0.5611246705958721,0.5625865800865801,0.5377142857142858,0.5307493261455525,0.7493692722371967,
C1,0.0,1,0,0,0.7147897063628196,0.6205316034511665,0.7513744588744589,0.7977897574123989,0.590932614555256,0.7190619946091644,
C2,0.0,1,0,0,0.6957704198317405,0.6070506454816287,0.6823593073593074,0.7876765498652292,0.6226738544474394,0.6903719676549864,
C2,0.0,1,1,0,0.5835740218900596,0.5484423429929886,0.5256060606060606,0.6106630727762803,0.5588140161725068,0.6392129380053908,
C2,0.0,1,2,0,0.7039967430368375,0.6339000911369332,0.7136904761904763,0.794188679245283,0.5717843665768194,0.7363234501347709,
C2,0.0,1,3,0,0.6256774585477416,0.5855619967586203,0.5352489177489177,0.6267708894878706,0.6132614555256064,0.7274285714285713,
C2,0.0,1,4,0,0.49694221187617416,0.5054066340809141,0.4987445887445887,0.5533800539083558,0.4981132075471698,0.4375309973045822,
C2,0.0,1,5,0,0.6223832394021074,0.568997482987056,0.5605194805194804,0.6794501347708896,0.5748571428571428,0.6747061994609165,
C2,0.0,1,6,0,0.55509854610798,0.5158780850066849,0.4758874458874459,0.5169487870619945,0.6118814016172507,0.6156765498652291,
C2,0.0,1,7,0,0.6552026464101937,0.5436824264778584,0.6348051948051948,0.6947816711590297,0.5614986522911052,0.7297250673854447,
C2,0.0,1,8,0,0.6644483174058645,0.569678215693608,0.5866450216450216,0.7259622641509433,0.5940269541778975,0.7511590296495957,
C2,0.0,1,9,0,0.6543483316997468,0.589791642485287,0.6520887445887446,0.7533584905660379,0.6807762803234501,0.5311698113207547,
C2,0.01,1,0,0,0.6469266825941354,0.6411303774014797,0.3908549783549784,0.6613908355795147,0.616765498652291,0.9186954177897574,
C2,0.01,1,1,0,0.5490366638078903,0.5067094193459636,0.5117207792207793,0.5445768194070081,0.5485390835579516,0.591309973045822,
C2,0.01,1,2,0,0.5696722821203952,0.5367299573977826,0.6611904761904762,0.5904366576819406,0.4321293800539084,0.594932614555256,
C2,0.01,1,3,0,0.63611760802091,0.5651688182720953,0.6503787878787879,0.5622533692722372,0.5237628032345014,0.8080754716981133,
C2,0.01,1,4,0,0.4272139181573144,0.4902255639097744,0.42961038961038966,0.45278706199460916,0.3113207547169811,0.5151374663072776,
C2,0.01,1,5,0,0.5706870660785754,0.5518744330809873,0.5454329004329004,0.7412614555256065,0.4420161725067385,0.5540377358490566,
C2,0.01,1,6,0,0.5399566895368781,0.5382749326145553,0.2512337662337662,0.6118598382749325,0.6476010781671159,0.6491320754716982,
C2,0.01,1,7,0,0.5932508065833537,0.5760123937631385,0.3429978354978355,0.8550619946091644,0.5255417789757413,0.6494016172506738,
C2,0.01,1,8,0,0.6267346647063629,0.5384485011843503,0.5244588744588745,0.6838167115902964,0.6207978436657682,0.6778652291105122,
C2,0.01,1,9,0,0.4993605733888753,0.5137548523968584,0.4736363636363636,0.47321832884097037,0.5555902964959568,0.49499730458221025,
C2,0.02,1,0,0,0.583705209099077,0.5458802452099374,0.6218073593073592,0.7002695417789758,0.5456064690026954,0.4671374663072777,
C2,0.02,1,1,0,0.4855121089602222,0.49700994553278566,0.5656926406926407,0.5314716981132076,0.37070619946091643,0.474177897574124,
C2,0.02,1,2,0,0.696964653271257,0.5733425007630568,0.7596753246753247,0.8697358490566038,0.5740377358490566,0.5844097035040431,
C2,0.02,1,3,0,0.6393730805358164,0.5662049097873328,0.6840367965367965,0.47249595687331536,0.7307708894878706,0.6701886792452829,
C2,0.02,1,4,0,0.46828200808625337,0.5217017672827007,0.4960714285714286,0.36990835579514825,0.45237735849056604,0.5547708894878707,
C2,0.02,1,5,0,0.5240885812300906,0.5237054901404454,0.5596103896103896,0.5926469002695418,0.2650566037735849,0.6790404312668464,
C2,0.02,1,6,0,0.5733507106101445,0.5255425226875078,0.7146103896103896,0.4452291105121294,0.4261024258760107,0.7074609164420486,
C2,0.02,1,7,0,0.4416788266764682,0.5057454958150092,0.33098484848484844,0.4080646900269541,0.4744905660377358,0.5531752021563343,
