cfg_name,tracks,n_mels,frames,hidden,n_blocks,bottleneck,input_dim,tiles,max_layer_tiles,params,n_seeds,auc_mean,auc_std,pauc_mean,pauc_std,wall_min
m128f5_h128b4z8,dim,128,5,128,4,8,640,380,110,267928,3,0.7847424991151405,0.008356871578086875,0.674113188202066,0.013535770974581881,5.683333333333334
m64f5_h128b4z8,dim,64,5,128,4,8,320,270,55,185688,3,0.762084806964524,0.016137862616666172,0.6534897134202,0.0185930902202943,4.82
m32f5_h128b4z8,dim,32,5,128,4,8,160,220,30,144568,3,0.7423551927632116,0.00791524206232732,0.638563085099828,0.009806885039072715,2.8766666666666665
m16f5_h128b4z8,dim,16,5,128,4,8,80,190,25,124008,3,0.7212677856734461,0.025478301329904952,0.641931551291035,0.02336078943080101,2.91
m32f2_h128b4z8,dim,32,2,128,4,8,64,190,25,119896,3,0.6924838308965668,0.028199991828678272,0.5687586246920904,0.02315111920868398,3.1999999999999997
m32f1_h30b2z4,chip,32,1,30,2,4,32,8,2,4364,3,0.662064752988102,0.022209843666979905,0.5534936540894834,0.009615590835929977,1.97
m16f2_h30b2z4,"alloc,chip",16,2,30,2,4,32,8,2,4364,3,0.7134685670723405,0.015318765823610228,0.6004788808785829,0.03452790698971001,1.8766666666666667
m10f3_h30b2z4,alloc,10,3,30,2,4,30,6,1,4242,3,0.7169584898853767,0.010666501950102901,0.637696424451638,0.016801102097435603,2.2266666666666666
m30f1_h128b4z8,dim,30,1,128,4,8,30,170,25,111158,3,0.6459051294617332,0.010708476297207439,0.5501366874877301,0.014169994539502259,3.4966666666666666
m30f1_h30b2z4,"alloc,chip",30,1,30,2,4,30,6,1,4242,3,0.6590958030439162,0.0256942286706962,0.5471825110231268,0.02220011556951012,2.0966666666666667
m6f5_h30b2z4,alloc,6,5,30,2,4,30,6,1,4242,3,0.7268115317596449,0.011667109368469682,0.6209123795767292,0.0031756856423750474,2.2933333333333334
m16f1_h30b2z4,chip,16,1,30,2,4,16,6,1,3388,3,0.6318991532576438,0.06491624188049695,0.5516213346402026,0.02214507156318571,2.3233333333333337
m16f1_h128b4z8,dim,16,1,128,4,8,16,170,25,107560,3,0.6382042970132592,0.00340164273248553,0.547901575694525,0.002124351746362083,3.546666666666667
