cfg_name,name,seed,tracks,n_mels,frames,hidden,n_blocks,bottleneck,input_dim,tiles,max_layer_tiles,auc,pauc,params,wall_min
m128f5_h128b4z8,m128f5_h128b4z8_s0,0,dim,128,5,128,4,8,640,380,110,0.7772744119088458,0.6659569700408826,267928,5.71
m128f5_h128b4z8,m128f5_h128b4z8_s1,1,dim,128,5,128,4,8,640,380,110,0.7937688066650331,0.6897379060859696,267928,5.42
m128f5_h128b4z8,m128f5_h128b4z8_s2,2,dim,128,5,128,4,8,640,380,110,0.7831842787715428,0.6666446884793459,267928,5.92
m64f5_h128b4z8,m64f5_h128b4z8_s0,0,dim,64,5,128,4,8,320,270,55,0.7474888609817855,0.6390588392077965,185688,5.45
m64f5_h128b4z8,m64f5_h128b4z8_s1,1,dim,64,5,128,4,8,320,270,55,0.7794151964387814,0.6744716099855127,185688,5.02
m64f5_h128b4z8,m64f5_h128b4z8_s2,2,dim,64,5,128,4,8,320,270,55,0.759350363473005,0.6469386910672908,185688,3.99
m32f5_h128b4z8,m32f5_h128b4z8_s0,0,dim,32,5,128,4,8,160,220,30,0.748359491137793,0.6443391390139156,144568,3.08
m32f5_h128b4z8,m32f5_h128b4z8_s1,1,dim,32,5,128,4,8,160,220,30,0.7333854345340194,0.6272398405963451,144568,2.78
m32f5_h128b4z8,m32f5_h128b4z8_s2,2,dim,32,5,128,4,8,160,220,30,0.7453206526178224,0.6441102756892231,144568,2.77
m16f5_h128b4z8,m16f5_h128b4z8_s0,0,dim,16,5,128,4,8,80,190,25,0.7475169076206812,0.6677427917993956,124008,2.83
m16f5_h128b4z8,m16f5_h128b4z8_s1,1,dim,16,5,128,4,8,80,190,25,0.7196489422527158,0.6358127845342344,124008,2.83
m16f5_h128b4z8,m16f5_h128b4z8_s2,2,dim,16,5,128,4,8,80,190,25,0.6966375071469412,0.6222390775394748,124008,3.07
m32f2_h128b4z8,m32f2_h128b4z8_s0,0,dim,32,2,128,4,8,64,190,25,0.6600123233684554,0.5480831688999515,119896,2.86
m32f2_h128b4z8,m32f2_h128b4z8_s1,1,dim,32,2,128,4,8,64,190,25,0.7066123499142367,0.5644209150663967,119896,3.37
m32f2_h128b4z8,m32f2_h128b4z8_s2,2,dim,32,2,128,4,8,64,190,25,0.7108268194070082,0.5937717901099231,119896,3.37
m16f2_h30b2z4,m16f2_h30b2z4_s0,0,"alloc,chip",16,2,30,2,4,32,8,2,0.7227164297966184,0.6070213591440006,4364,1.67
m16f2_h30b2z4,m16f2_h30b2z4_s1,1,"alloc,chip",16,2,30,2,4,32,8,2,0.7219030568488115,0.6312674911979779,4364,2.01
m16f2_h30b2z4,m16f2_h30b2z4_s2,2,"alloc,chip",16,2,30,2,4,32,8,2,0.6957862145715918,0.5631477922937704,4364,1.95
