train_sigma_read,eval_sigma_read,seed,chip,trial,auc,pauc,auc_id1,auc_id2,auc_id3,auc_id4
0.0,0.0,0,0,0,0.6095021951319122,0.5319849796016628,0.5208982683982685,0.621843665768194,0.7417358490566038,0.5535309973045822
0.0,0.0,0,1,0,0.664929071714449,0.573075323385651,0.6933874458874459,0.7095094339622642,0.6611536388140162,0.5956657681940701
0.0,0.0,0,2,0,0.6296471963571021,0.5533096248339545,0.6917424242424243,0.7201078167115904,0.5721401617250674,0.5345983827493261
0.0,0.0,0,3,0,0.5676481765090255,0.5182731163242583,0.5956385281385281,0.6990619946091645,0.4752452830188679,0.5006469002695418
0.0,0.0,0,4,0,0.6765223699256719,0.5934514674335926,0.6822835497835498,0.8182964959568734,0.5929703504043127,0.6125390835579514
0.0,0.0,0,5,0,0.7259741689128482,0.598589580727118,0.8240476190476191,0.7632237196765499,0.5696819407008086,0.7469433962264151
0.0,0.0,0,6,0,0.7355111083884669,0.6430820296882859,0.8874891774891774,0.852323450134771,0.6434177897574123,0.5588140161725068
0.0,0.0,0,7,0,0.6465415849873397,0.5610553506407527,0.7855086580086579,0.6324636118598382,0.5372938005390836,0.6309002695417789
0.0,0.0,0,8,0,0.6760172241280732,0.5710901395856709,0.6296861471861472,0.8163989218328842,0.5441509433962264,0.713832884097035
0.0,0.0,0,9,0,0.6001166380789023,0.5855286801910436,0.6379220779220779,0.7973261455525607,0.4324743935309973,0.532743935309973
0.0,0.04,0,0,0,0.6589457445070653,0.5596628793252427,0.753917748917749,0.7762371967654986,0.3585229110512129,0.7471051212938006
0.0,0.04,0,1,0,0.6831565078003757,0.542699856416341,0.6373268398268399,0.7617035040431268,0.6729487870619946,0.6606469002695418
0.0,0.04,0,2,0,0.6261488197337253,0.5389943017922164,0.5348917748917749,0.6307601078167115,0.7205175202156333,0.6184258760107817
0.0,0.04,0,3,0,0.6005683655966675,0.5328926948589312,0.611038961038961,0.5805498652291105,0.5900377358490566,0.6206469002695417
0.0,0.04,0,4,0,0.5442242710120069,0.5292943443514446,0.522012987012987,0.6081617250673854,0.3242857142857143,0.7224366576819408
0.0,0.04,0,5,0,0.5603308625336927,0.5406604525894496,0.505,0.7576711590296497,0.4052830188679245,0.5733692722371968
0.0,0.04,0,6,0,0.5912751368128726,0.5317076997811854,0.5273593073593074,0.656431266846361,0.6690458221024258,0.5122641509433963
0.0,0.04,0,7,0,0.6419793861798578,0.5663180249078958,0.7010064935064935,0.6768086253369271,0.6102318059299192,0.5798706199460916
0.0,0.04,0,8,0,0.6818191721800213,0.5583847053310806,0.645465367965368,0.7303504043126685,0.6397304582210244,0.7117304582210242
0.0,0.04,0,9,0,0.5824709834190966,0.5316378961984722,0.5420995670995672,0.6110727762803234,0.5647762803234502,0.6119353099730458
0.0,0.0,1,0,0,0.7136212121212121,0.6354496876840472,0.7384848484848485,0.8145768194070081,0.5468355795148248,0.7545876010781671
0.0,0.0,1,1,0,0.6868542942906151,0.6026812851167369,0.6826948051948052,0.7239784366576819,0.5987924528301887,0.7419514824797844
0.0,0.0,1,2,0,0.6816486563750714,0.5979396927137741,0.6261471861471861,0.7770673854447439,0.5365121293800539,0.7868679245283019
0.0,0.0,1,3,0,0.6514613350485993,0.583640275646234,0.7861580086580087,0.7383719676549867,0.48858221024258763,0.5927331536388141
0.0,0.0,1,4,0,0.6494755472514907,0.5663641307385101,0.6697943722943722,0.7291536388140163,0.612690026954178,0.5862641509433963
0.0,0.0,1,5,0,0.6584656334231807,0.5637951009599471,0.6364285714285715,0.7500808625336928,0.688711590296496,0.5586415094339623
0.0,0.0,1,6,0,0.7142014008004574,0.6096691664839629,0.6849134199134199,0.6831051212938005,0.6498867924528302,0.8389002695417789
0.0,0.0,1,7,0,0.6293111165563996,0.5415003525107795,0.5926406926406926,0.7205714285714286,0.645822102425876,0.558210242587601
0.0,0.0,1,8,0,0.7327033917340521,0.6082686347085553,0.7513095238095238,0.7742533692722371,0.7268463611859839,0.6784043126684637
